client_id,age,gender,geography,tenure_years,credit_score,salary_monthly_rub,balance_rub,n_products,has_credit_card,is_active_member,tx_count_90d,turnover_outflow_90d,tx_count_30d,turnover_outflow_30d,turnover_outflow_60d_prev,days_since_last_tx,inflow_30d,inflow_60d_prev,sessions_30d,sessions_60d_prev,days_since_last_login,unsubscribe_count_90d,support_tickets_30d,push_received_90d,push_opened_90d,turnover_drop_30d_vs_60d_pct,sessions_drop_30d_vs_60d_pct,push_open_rate_90d,inflow_drop_pct,churned_in_next_28d,already_churned_at_snapshot
11,54,M,Регион,1,677,50003,0,2,1,1,147.0,369629.0,55.0,77934.0,161110.0,0,386702.0,308041.0,66.0,45.0,0,0.0,0.0,29.0,15.0,0.5162683880578487,-0.4666666666666667,0.5172413793103449,-0.25535886456672974,0,0
12,53,F,Санкт-Петербург,8,639,50578,0,1,0,1,108.0,329147.0,33.0,100919.0,105042.0,0,85599.0,323535.0,53.0,55.0,1,0.0,0.0,29.0,17.0,0.039250966280154606,0.03636363636363636,0.5862068965517241,0.7354258426445361,0,0
13,37,F,Москва,9,661,114076,0,2,1,1,183.0,464463.0,60.0,119540.0,173381.0,1,1528834.0,813330.0,41.0,28.0,0,0.0,0.0,29.0,16.0,0.3105357565131127,-0.4642857142857143,0.5517241379310345,-0.8797216382034353,0,0
14,37,F,Москва,5,610,42998,154470,1,0,0,102.0,260549.0,33.0,79131.0,67155.0,0,230909.0,77704.0,5.0,13.0,10,0.0,0.0,29.0,10.0,-0.17833370560643289,0.6153846153846154,0.3448275862068966,-1.9716488211675074,0,0
15,18,M,Регион,1,596,85566,478917,1,1,1,110.0,239224.0,34.0,67011.0,96672.0,0,303826.0,258556.0,40.0,42.0,0,0.0,0.0,29.0,13.0,0.306821002979146,0.047619047619047616,0.4482758620689655,-0.17508779529386284,0,0
16,23,M,Москва,2,540,30191,0,2,1,1,166.0,398007.0,49.0,98104.0,117424.0,0,87196.0,183038.0,21.0,23.0,0,0.0,0.0,29.0,18.0,0.16453195258209566,0.08695652173913043,0.6206896551724138,0.523618046525858,0,0
17,44,F,Регион,5,660,72986,0,3,0,0,9.0,12522.0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,68,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,1
18,52,M,Регион,8,743,102911,0,1,1,0,76.0,158806.0,33.0,58955.0,75048.0,0,144713.0,94935.0,20.0,19.0,3,0.0,0.0,29.0,12.0,0.2144360942330242,-0.05263157894736842,0.41379310344827586,-0.5243377047453521,0,0
19,47,F,Москва,5,601,139115,64404,1,1,0,119.0,419328.0,53.0,128475.0,186565.0,0,1474594.0,112566.0,26.0,12.0,1,0.0,0.0,29.0,10.0,0.3113660118457374,-1.1666666666666667,0.3448275862068966,-12.099816996251088,0,0
20,37,F,Регион,5,617,30000,551212,1,1,0,65.0,193984.0,27.0,65661.0,53331.0,0,99440.0,0.0,15.0,13.0,0,0.0,0.0,29.0,12.0,-0.2311976148956517,-0.15384615384615385,0.41379310344827586,0.0,0,0
21,61,F,Москва,6,580,50110,16684,2,0,1,146.0,341872.0,45.0,129885.0,82964.0,0,214831.0,453790.0,46.0,58.0,0,0.0,1.0,29.0,21.0,-0.565558555518056,0.20689655172413793,0.7241379310344828,0.5265849842438132,0,0
22,50,M,Москва,10,551,156220,688989,3,1,1,139.0,422289.0,51.0,173720.0,155427.0,0,412828.0,528448.0,46.0,46.0,0,0.0,0.0,29.0,22.0,-0.1176951237558468,0.0,0.7586206896551724,0.2187916313431028,0,0
23,33,F,Москва,8,626,104101,446370,2,0,0,127.0,283355.0,43.0,97392.0,73219.0,0,54163.0,325208.0,16.0,19.0,1,0.0,0.0,29.0,5.0,-0.3301465466613857,0.15789473684210525,0.1724137931034483,0.8334512066123835,0,0
24,64,F,Регион,1,684,53135,31330,1,0,1,161.0,458333.0,49.0,123492.0,188380.0,0,498650.0,270203.0,60.0,42.0,0,0.0,0.0,29.0,20.0,0.3444527019853488,-0.42857142857142855,0.6896551724137931,-0.8454643360732487,0,0
25,25,F,Москва,2,776,60011,68195,2,1,0,47.0,121525.0,0.0,0.0,43524.0,31,0.0,99988.0,2.0,5.0,21,1.0,0.0,26.0,10.0,1.0,0.6,0.38461538461538464,1.0,0,1
26,20,M,Москва,3,531,71554,22264,1,0,0,109.0,210040.0,33.0,74779.0,70098.0,0,37313.0,307981.0,9.0,15.0,3,0.0,0.0,29.0,7.0,-0.0667779394561899,0.4,0.2413793103448276,0.8788464223442355,0,0
27,33,M,Регион,2,647,47868,0,1,1,0,74.0,238194.0,25.0,85336.0,97462.0,0,0.0,201998.0,26.0,29.0,0,0.0,0.0,29.0,12.0,0.12441772177874454,0.10344827586206896,0.41379310344827586,1.0,0,0
28,29,M,Москва,8,768,83141,15114,2,1,1,138.0,351932.0,48.0,112789.0,124158.0,0,343436.0,103500.0,66.0,44.0,0,0.0,0.0,29.0,20.0,0.091568807487234,-0.5,0.6896551724137931,-2.3182222222222224,0,0
29,34,M,Регион,10,532,80363,11659,2,0,1,193.0,484998.0,63.0,185049.0,176405.0,0,469150.0,381476.0,31.0,29.0,0,0.0,0.0,29.0,12.0,-0.04900087865990193,-0.06896551724137931,0.41379310344827586,-0.22982835093164444,0,0
30,48,F,Регион,6,777,30673,21924,2,1,1,197.0,554605.0,72.0,175905.0,268695.0,0,174955.0,79437.0,36.0,42.0,1,0.0,0.0,29.0,19.0,0.34533578964997486,0.14285714285714285,0.6551724137931034,-1.202437151453353,0,0
31,38,F,Санкт-Петербург,9,606,44629,342562,2,0,0,102.0,210214.0,31.0,33500.0,72755.0,0,112053.0,140134.0,12.0,10.0,0,0.0,0.0,29.0,5.0,0.5395505463542024,-0.2,0.1724137931034483,0.20038677266045357,0,0
32,38,F,Регион,4,721,45595,10592,1,1,0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,0.0,88,0.0,0.0,3.0,1.0,0.0,0.0,0.3333333333333333,0.0,0,1
33,39,M,Регион,7,628,51364,512636,1,1,0,68.0,246025.0,21.0,101370.0,61698.0,0,0.0,94741.0,21.0,16.0,0,0.0,0.0,29.0,7.0,-0.6430030146844307,-0.3125,0.2413793103448276,1.0,0,0
34,18,M,Москва,7,696,70398,295804,2,0,0,63.0,223975.0,25.0,78372.0,28365.0,1,34340.0,330349.0,22.0,11.0,2,0.0,0.0,29.0,7.0,-1.7629825489159174,-1.0,0.2413793103448276,0.8960493296483416,0,0
35,20,M,Регион,3,811,66722,0,4,1,1,127.0,387031.0,42.0,116031.0,124650.0,0,338948.0,175596.0,48.0,34.0,0,0.0,0.0,29.0,16.0,0.06914560770156437,-0.4117647058823529,0.5517241379310345,-0.9302717601767694,0,0
36,33,M,Регион,8,638,38877,149293,3,1,0,106.0,316709.0,40.0,154770.0,102400.0,0,38243.0,22612.0,30.0,15.0,0,0.0,1.0,29.0,10.0,-0.51142578125,-1.0,0.3448275862068966,-0.6912701220590837,0,0
37,28,M,Регион,5,750,133808,0,3,1,0,120.0,531707.0,38.0,164034.0,175869.0,0,157838.0,132033.0,18.0,11.0,0,0.0,0.0,29.0,9.0,0.0672944066322092,-0.6363636363636364,0.3103448275862069,-0.19544356335158636,0,0
38,35,M,Регион,6,677,60056,17656,2,0,0,105.0,292095.0,37.0,107276.0,109209.0,0,0.0,19592.0,11.0,8.0,3,0.0,0.0,29.0,9.0,0.017700006409728138,-0.375,0.3103448275862069,1.0,0,0
39,55,M,Санкт-Петербург,2,571,144087,0,3,0,1,142.0,411102.0,62.0,205483.0,115816.0,1,882837.0,653541.0,34.0,19.0,0,0.0,0.0,29.0,14.0,-0.7742194515438281,-0.7894736842105263,0.4827586206896552,-0.35085174457302604,0,0
40,37,F,Санкт-Петербург,3,635,142075,3797037,2,1,0,26.0,120389.0,0.0,0.0,34818.0,46,0.0,0.0,0.0,2.0,51,0.0,0.0,20.0,6.0,1.0,1.0,0.3,0.0,0,1
41,22,M,Москва,9,629,31713,71954,1,1,1,97.0,259497.0,36.0,89815.0,121799.0,4,230171.0,62733.0,40.0,30.0,1,0.0,0.0,29.0,15.0,0.26259657304247164,-0.3333333333333333,0.5172413793103449,-2.669057752697942,0,0
42,28,F,Санкт-Петербург,6,509,44614,92372,2,0,1,126.0,447542.0,39.0,133436.0,169891.0,0,193377.0,170473.0,27.0,29.0,2,0.0,0.0,29.0,17.0,0.21457875932215362,0.06896551724137931,0.5862068965517241,-0.13435558710176979,0,0
43,59,F,Регион,1,696,46613,32673,2,1,0,107.0,319528.0,39.0,107443.0,156450.0,3,30176.0,124314.0,23.0,29.0,1,0.0,0.0,29.0,10.0,0.31324384787472037,0.20689655172413793,0.3448275862068966,0.7572598420129671,0,0
44,56,M,Регион,5,716,72257,106901,2,1,1,111.0,329816.0,41.0,181884.0,54248.0,0,144339.0,220453.0,31.0,29.0,0,0.0,0.0,29.0,17.0,-2.352824067246719,-0.06896551724137931,0.5862068965517241,0.34526180183531185,0,0
45,45,F,Москва,6,731,92582,123423,1,1,1,104.0,240380.0,38.0,81894.0,80503.0,1,207527.0,215533.0,56.0,41.0,0,0.0,0.0,29.0,14.0,-0.017278859172950075,-0.36585365853658536,0.4827586206896552,0.03714512394853688,0,0
46,19,F,Санкт-Петербург,8,793,65392,5793,4,1,1,131.0,262928.0,55.0,100281.0,93673.0,1,640994.0,155562.0,55.0,48.0,0,0.0,0.0,29.0,18.0,-0.07054327287478783,-0.14583333333333334,0.6206896551724138,-3.120505007649683,0,0
47,42,M,Регион,9,745,43022,0,3,0,0,67.0,111603.0,13.0,23797.0,44429.0,1,0.0,160855.0,14.0,24.0,9,1.0,3.0,29.0,10.0,0.4643813725269531,0.4166666666666667,0.3448275862068966,1.0,1,0
48,43,M,Санкт-Петербург,7,590,161290,373816,2,1,0,146.0,449789.0,41.0,177368.0,142859.0,0,164606.0,1244258.0,11.0,24.0,2,0.0,2.0,29.0,11.0,-0.24155985972182362,0.5416666666666666,0.3793103448275862,0.8677075011774086,1,0
49,38,F,Регион,0,611,46025,0,1,1,1,130.0,410528.0,47.0,155132.0,76315.0,1,35646.0,66954.0,32.0,23.0,0,0.0,0.0,29.0,18.0,-1.0327851667431043,-0.391304347826087,0.6206896551724138,0.4676046240702572,0,0
50,31,M,Регион,5,734,93442,59320,1,0,1,90.0,265119.0,17.0,64775.0,99156.0,11,0.0,306803.0,20.0,36.0,8,1.0,0.0,28.0,18.0,0.34673645568598976,0.4444444444444444,0.6428571428571429,1.0,0,1
51,34,M,Москва,2,689,58554,0,3,1,1,34.0,66979.0,0.0,0.0,4847.0,53,0.0,144524.0,0.0,3.0,55,0.0,0.0,13.0,5.0,1.0,1.0,0.38461538461538464,1.0,0,1
52,30,M,Москва,0,648,57578,32369,2,0,1,141.0,476058.0,51.0,198177.0,143473.0,0,331533.0,302643.0,37.0,32.0,0,0.0,0.0,29.0,15.0,-0.3812842834540297,-0.15625,0.5172413793103449,-0.09545900615576769,0,0
53,24,F,Регион,10,563,89702,240847,1,1,1,207.0,523522.0,66.0,146707.0,176109.0,0,585197.0,301414.0,19.0,19.0,0,0.0,0.0,29.0,15.0,0.16695342089274257,0.0,0.5172413793103449,-0.9415057031192977,0,0
54,54,F,Санкт-Петербург,1,597,151116,0,2,1,1,143.0,471360.0,43.0,78890.0,265716.0,0,504497.0,1123416.0,53.0,55.0,2,0.0,0.0,29.0,21.0,0.7031040659952732,0.03636363636363636,0.7241379310344828,0.5509259259259259,0,0
55,49,F,Регион,2,708,71897,0,1,1,0,91.0,240118.0,31.0,66842.0,85918.0,1,87432.0,140747.0,9.0,7.0,8,0.0,0.0,29.0,11.0,0.22202565236620964,-0.2857142857142857,0.3793103448275862,0.37880025862007716,0,0
56,35,F,Москва,3,455,44654,84641,2,0,0,119.0,283324.0,35.0,60635.0,109560.0,0,175020.0,169725.0,14.0,14.0,0,0.0,0.0,29.0,11.0,0.4465589631252282,0.0,0.3793103448275862,-0.031197525408749448,0,0
57,42,M,Москва,5,416,145516,0,1,0,1,178.0,506479.0,75.0,224001.0,87488.0,0,698140.0,972967.0,21.0,21.0,1,0.0,0.0,29.0,19.0,-1.5603625640087784,0.0,0.6551724137931034,0.2824628173411842,0,0
58,43,F,Москва,6,719,80524,132795,1,1,1,156.0,441997.0,61.0,172853.0,164894.0,0,365179.0,492246.0,30.0,36.0,0,0.0,0.0,29.0,16.0,-0.04826737176610429,0.16666666666666666,0.5517241379310345,0.2581371915668182,0,0
59,66,M,Регион,3,597,66318,113414,1,0,0,76.0,171253.0,28.0,52336.0,80102.0,0,101501.0,202564.0,10.0,18.0,1,0.0,0.0,29.0,6.0,0.3466330428703403,0.4444444444444444,0.20689655172413793,0.4989188602120811,0,0
60,48,M,Регион,8,697,110924,699652,1,1,1,120.0,354783.0,43.0,131392.0,187363.0,0,150681.0,309720.0,48.0,45.0,0,0.0,0.0,29.0,17.0,0.298730272252259,-0.06666666666666667,0.5862068965517241,0.5134928322355676,0,0
61,48,F,Регион,1,808,72644,0,3,1,0,118.0,308837.0,45.0,133577.0,68747.0,0,173632.0,373571.0,15.0,26.0,0,0.0,0.0,29.0,12.0,-0.9430229682749792,0.4230769230769231,0.41379310344827586,0.5352101742372936,0,0
62,38,M,Санкт-Петербург,10,549,261495,41131,2,0,0,73.0,234474.0,0.0,0.0,64309.0,37,0.0,260239.0,0.0,13.0,35,0.0,0.0,21.0,2.0,1.0,1.0,0.09523809523809523,1.0,0,1
63,33,F,Регион,9,483,59941,78381,1,1,0,106.0,261613.0,36.0,81431.0,116001.0,1,32481.0,117310.0,13.0,12.0,1,0.0,0.0,29.0,6.0,0.2980146722873079,-0.08333333333333333,0.20689655172413793,0.7231182337396641,0,0
64,55,F,Москва,6,622,119347,42893,1,0,0,76.0,184871.0,6.0,8770.0,56349.0,15,45062.0,835049.0,3.0,23.0,20,1.0,0.0,26.0,7.0,0.8443628103426858,0.8695652173913043,0.2692307692307692,0.9460366996427755,0,1
65,46,F,Санкт-Петербург,0,582,78057,34680,2,0,0,90.0,210301.0,24.0,57597.0,85690.0,1,104197.0,90525.0,14.0,14.0,0,0.0,0.0,29.0,9.0,0.3278445559575213,0.0,0.3103448275862069,-0.15103010218171775,0,0
66,28,F,Регион,8,647,77902,1973,3,1,0,48.0,138629.0,1.0,4113.0,75533.0,30,0.0,163582.0,2.0,13.0,27,1.0,0.0,24.0,9.0,0.9455469794659288,0.8461538461538461,0.375,1.0,0,1
67,43,F,Москва,7,704,48183,749080,1,1,1,149.0,477891.0,54.0,200995.0,155615.0,0,256114.0,273782.0,41.0,54.0,0,0.0,0.0,29.0,17.0,-0.29161713202454775,0.24074074074074073,0.5862068965517241,0.06453309567466087,0,0
68,48,M,Регион,6,683,48326,44161,2,1,1,126.0,276018.0,48.0,113602.0,66009.0,0,202427.0,272242.0,58.0,44.0,0,0.0,0.0,29.0,11.0,-0.7210077413686012,-0.3181818181818182,0.3793103448275862,0.25644463381844096,0,0
69,18,M,Москва,3,655,80658,57796,3,0,0,64.0,229421.0,1.0,1535.0,62073.0,30,0.0,112593.0,1.0,4.0,30,1.0,0.0,23.0,4.0,0.9752710518260758,0.75,0.17391304347826086,1.0,0,1
70,27,M,Москва,4,756,35562,0,1,0,1,70.0,219456.0,18.0,91290.0,70789.0,4,0.0,65813.0,15.0,33.0,3,1.0,0.0,28.0,13.0,-0.2896071423526254,0.5454545454545454,0.4642857142857143,1.0,0,1
71,42,M,Санкт-Петербург,4,717,42390,45788,2,1,1,192.0,497992.0,61.0,190051.0,110360.0,0,461587.0,373564.0,49.0,49.0,1,0.0,1.0,29.0,17.0,-0.7221003986951794,0.0,0.5862068965517241,-0.23563030698889614,0,0
72,18,M,Регион,6,632,60426,79246,1,1,0,67.0,300539.0,21.0,165869.0,39875.0,0,123997.0,0.0,18.0,11.0,0,0.0,0.0,29.0,12.0,-3.1597241379310343,-0.6363636363636364,0.41379310344827586,0.0,0,0
73,18,F,Москва,3,714,126023,136023,1,0,0,126.0,444150.0,15.0,36973.0,122410.0,6,73698.0,518293.0,6.0,16.0,5,0.0,1.0,28.0,9.0,0.6979576831958173,0.625,0.32142857142857145,0.8578062987537937,0,1
74,35,M,Регион,4,495,62838,0,3,1,0,108.0,246596.0,42.0,75551.0,132427.0,0,306443.0,86983.0,12.0,11.0,0,0.0,0.0,29.0,10.0,0.42948945456742205,-0.09090909090909091,0.3448275862068966,-2.5230217398802064,0,0
75,44,M,Москва,9,756,62244,46985,3,1,0,118.0,272249.0,42.0,139105.0,91429.0,0,302082.0,723321.0,11.0,6.0,2,0.0,0.0,29.0,9.0,-0.5214538056852859,-0.8333333333333334,0.3103448275862069,0.5823679942929902,0,0
76,44,M,Регион,4,652,31724,380006,1,0,0,34.0,92286.0,4.0,2571.0,32830.0,22,18147.0,34473.0,3.0,6.0,20,0.0,0.0,26.0,5.0,0.9216874809625343,0.5,0.19230769230769232,0.4735880254111914,0,1
77,57,M,Санкт-Петербург,6,530,165614,0,2,1,0,108.0,270772.0,37.0,93899.0,98365.0,0,131160.0,844490.0,14.0,9.0,1,0.0,0.0,29.0,10.0,0.045402328063843846,-0.5555555555555556,0.3448275862068966,0.8446873260784615,0,0
78,39,F,Москва,10,608,116340,112961,2,1,1,114.0,296297.0,35.0,92261.0,117990.0,1,227254.0,480495.0,58.0,38.0,0,0.0,0.0,29.0,18.0,0.21806085261462835,-0.5263157894736842,0.6206896551724138,0.5270419047024423,0,0
79,34,F,Регион,10,754,124470,0,3,1,1,212.0,546092.0,82.0,221520.0,106606.0,0,1659054.0,616754.0,26.0,31.0,0,0.0,0.0,29.0,14.0,-1.0779318237247435,0.16129032258064516,0.4827586206896552,-1.6899768789501162,0,0
80,22,F,Регион,6,573,30000,84398,2,1,1,136.0,523915.0,43.0,112397.0,135912.0,0,277105.0,146735.0,43.0,47.0,2,0.0,0.0,29.0,14.0,0.17301636352934252,0.0851063829787234,0.4827586206896552,-0.8884724162606058,0,0
81,33,F,Санкт-Петербург,2,691,73934,0,2,0,1,76.0,256559.0,31.0,132107.0,85132.0,1,109091.0,267986.0,45.0,35.0,0,0.0,0.0,29.0,18.0,-0.5517901611614904,-0.2857142857142857,0.6206896551724138,0.5929227646220325,0,0
82,46,M,Москва,1,738,34100,319210,2,1,1,100.0,255292.0,4.0,27683.0,62328.0,28,36367.0,110901.0,4.0,31.0,23,1.0,0.0,25.0,9.0,0.555849698369914,0.8709677419354839,0.36,0.672076897413008,0,1
83,47,F,Москва,9,652,95128,58987,1,1,1,127.0,299649.0,43.0,124874.0,101871.0,0,619847.0,360045.0,50.0,57.0,0,0.0,0.0,29.0,15.0,-0.22580518498885846,0.12280701754385964,0.5172413793103449,-0.7215820244691635,0,0
84,41,M,Регион,5,564,72621,38995,1,1,1,85.0,182362.0,31.0,81993.0,38216.0,0,150572.0,210993.0,54.0,52.0,0,0.0,0.0,29.0,13.0,-1.1455149675528575,-0.038461538461538464,0.4482758620689655,0.28636495049598804,0,0
85,45,M,Регион,6,644,81740,283291,3,0,1,196.0,547167.0,61.0,121799.0,171191.0,0,582506.0,256546.0,42.0,44.0,0,0.0,0.0,29.0,13.0,0.2885198404121712,0.045454545454545456,0.4482758620689655,-1.270571359522269,0,0
86,53,M,Регион,10,509,38950,141716,3,0,0,58.0,170309.0,20.0,65113.0,66128.0,4,25225.0,0.0,7.0,20.0,3,0.0,0.0,29.0,11.0,0.015349020082264698,0.65,0.3793103448275862,0.0,0,0
87,39,F,Регион,4,601,32083,282719,1,0,1,143.0,438354.0,63.0,225720.0,89342.0,0,101669.0,113499.0,31.0,41.0,0,0.0,0.0,29.0,14.0,-1.5264713124846097,0.24390243902439024,0.4827586206896552,0.10422999321579926,0,0
88,54,M,Регион,1,539,40764,30863,2,1,0,60.0,163308.0,23.0,42135.0,57384.0,0,46155.0,103866.0,20.0,17.0,6,1.0,0.0,29.0,8.0,0.2657360936846508,-0.17647058823529413,0.27586206896551724,0.5556293686095546,0,0
89,29,M,Москва,7,645,72019,96206,1,0,0,54.0,198844.0,18.0,83060.0,96771.0,0,52596.0,115492.0,18.0,15.0,1,0.0,0.0,29.0,10.0,0.14168500893862832,-0.2,0.3448275862068966,0.544591833200568,0,0
90,37,F,Санкт-Петербург,10,523,51775,0,2,0,1,75.0,234726.0,28.0,70075.0,72852.0,0,147998.0,65218.0,32.0,25.0,0,0.0,0.0,29.0,16.0,0.03811837698347334,-0.28,0.5517241379310345,-1.2692814867061242,0,0
91,32,M,Регион,1,658,69696,42001,1,1,0,107.0,253395.0,40.0,77585.0,129183.0,0,156552.0,107130.0,16.0,10.0,3,0.0,0.0,29.0,12.0,0.399417880061618,-0.6,0.41379310344827586,-0.46132735928311397,0,0
92,48,F,Москва,10,763,32390,0,4,0,0,88.0,259800.0,36.0,116794.0,86446.0,1,185532.0,12351.0,9.0,11.0,0,0.0,0.0,29.0,10.0,-0.35106309140966613,0.18181818181818182,0.3448275862068966,-14.021617682778722,0,0
93,26,M,Москва,5,770,59640,0,2,1,0,80.0,146054.0,29.0,42654.0,47825.0,1,312903.0,44965.0,3.0,2.0,3,0.0,0.0,29.0,10.0,0.10812336644014636,-0.5,0.3448275862068966,-5.9588124096519515,0,0
94,34,M,Регион,6,525,138284,77295,2,1,0,87.0,362458.0,36.0,74908.0,101163.0,1,393130.0,346465.0,26.0,30.0,0,0.0,0.0,29.0,11.0,0.2595316469460178,0.13333333333333333,0.3793103448275862,-0.1346889296177103,0,0
95,18,M,Регион,10,583,73087,77959,1,1,1,123.0,362834.0,36.0,123262.0,91823.0,2,167094.0,85322.0,54.0,57.0,0,0.0,0.0,29.0,17.0,-0.34238698365333303,0.05263157894736842,0.5862068965517241,-0.9583929115585663,0,0
96,45,F,Регион,3,735,75883,0,1,0,0,26.0,91424.0,0.0,0.0,7472.0,52,0.0,44868.0,0.0,1.0,60,1.0,0.0,14.0,5.0,1.0,1.0,0.35714285714285715,1.0,0,1
97,53,M,Москва,8,720,76248,121052,2,1,1,67.0,157883.0,20.0,50916.0,61213.0,3,32420.0,172678.0,13.0,20.0,4,0.0,0.0,29.0,16.0,0.16821590185091403,0.35,0.5517241379310345,0.8122517054865125,0,0
98,49,M,Регион,0,588,44039,0,1,1,0,113.0,294467.0,33.0,86225.0,138638.0,0,140427.0,70061.0,21.0,20.0,2,0.0,0.0,29.0,13.0,0.37805652130007644,-0.05,0.4482758620689655,-1.0043533492242473,0,0
99,48,M,Москва,7,601,159380,0,1,1,0,154.0,332395.0,60.0,92165.0,123167.0,0,1468324.0,492595.0,24.0,17.0,0,0.0,0.0,29.0,14.0,0.25170703191601645,-0.4117647058823529,0.4827586206896552,-1.9807935525127134,0,0
100,48,F,Москва,0,658,74177,34743,3,0,0,66.0,133274.0,0.0,0.0,43728.0,31,0.0,71655.0,0.0,11.0,41,1.0,1.0,23.0,10.0,1.0,1.0,0.43478260869565216,1.0,0,1
101,46,F,Регион,0,467,66591,136651,1,1,1,134.0,407735.0,59.0,143732.0,152465.0,0,414433.0,238307.0,48.0,45.0,0,0.0,0.0,29.0,13.0,0.05727871970616207,-0.06666666666666667,0.4482758620689655,-0.7390718694792852,0,0
102,45,F,Регион,4,703,90417,178783,1,1,1,118.0,268102.0,39.0,102544.0,97878.0,0,440383.0,168327.0,46.0,36.0,0,0.0,0.0,29.0,21.0,-0.047671591164510925,-0.2777777777777778,0.7241379310344828,-1.61623506626982,0,0
103,46,M,Регион,4,758,105284,94555,3,0,0,110.0,337399.0,42.0,110389.0,94139.0,0,36093.0,218500.0,27.0,19.0,1,0.0,0.0,29.0,14.0,-0.17261708749827384,-0.42105263157894735,0.4827586206896552,0.8348146453089245,0,0
104,30,F,Регион,8,611,30000,289124,2,1,1,177.0,573734.0,59.0,160759.0,221516.0,0,212273.0,181346.0,33.0,39.0,0,0.0,1.0,29.0,14.0,0.2742781559797035,0.15384615384615385,0.4827586206896552,-0.1705413960054261,0,0
105,36,F,Регион,9,508,61934,509318,1,0,1,140.0,503442.0,56.0,138453.0,215616.0,1,221070.0,263554.0,35.0,48.0,0,0.0,0.0,29.0,18.0,0.3578723285841496,0.2708333333333333,0.6206896551724138,0.1611965669274608,0,0
106,39,F,Москва,10,791,228916,241971,2,1,1,43.0,123057.0,0.0,0.0,9356.0,56,0.0,0.0,0.0,1.0,54,0.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0,1
107,34,M,Москва,6,672,161650,154117,1,0,0,83.0,215434.0,29.0,86055.0,64967.0,3,308914.0,295445.0,27.0,22.0,1,0.0,0.0,29.0,13.0,-0.32459556390167316,-0.22727272727272727,0.4482758620689655,-0.04558885748616494,0,0
108,19,M,Регион,1,721,56171,0,1,0,1,148.0,412531.0,61.0,145840.0,158848.0,0,219988.0,193884.0,52.0,59.0,0,0.0,0.0,29.0,20.0,0.08188960515713134,0.11864406779661017,0.6896551724137931,-0.1346372057518929,0,0
